,,0,1,2,3,4,5,6,7,8,9,Global
description_uppercase_ratio,mean,0.0143,0.005956521739130435,0.04824888888888889,0.084255,0.053668449197860964,0.049076923076923074,0.028555555555555556,0.018449704142011834,0.036136,0.1785,0.045916382252559736
description_uppercase_ratio,std,0.02717604108957605,0.016559598118767026,0.041445104733239674,0.10424661509513854,0.028278135085718945,0.05299861663651812,0.01772788136743299,0.027831959883978265,0.018751491983650344,0.15175111202228467,0.06156970184843502
description_uppercase_ratio,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
specs_count,mean,7.030769230769231,5.434782608695652,2.506666666666667,1.965,3.855614973262032,2.3846153846153846,2.0,2.7218934911242605,2.384,2.0,3.2465870307167237
specs_count,std,2.254843061757168,0.6880624620561867,2.0661385653988873,0.3801282513010391,2.470363697351859,0.5780437832765053,0.0,1.5810051694195029,0.7490208662410656,0.0,2.2894210255091614
specs_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
age_days,mean,0.0,0.34782608695652173,148.23111111111112,41.775,13.267379679144385,19.692307692307693,28.88888888888889,0.0,9.136,0.0,40.00511945392491
age_days,std,0.0,1.336951612260732,219.77957689611407,87.06200860139022,24.435853155580432,40.09438983391375,33.92434393044486,0.0,25.965344148965055,0.0,117.35894551169478
age_days,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
views_per_day,mean,0.0,34.13798309178744,232.2904519983411,152.024667956072,512.366719163572,72.99648300494358,1122.8828679962014,0.0,52.29156419150037,0.0,171.87745027975768
views_per_day,std,0.0,138.64903803351137,1442.163757213515,567.3907172014935,1963.015597616688,207.72349414516563,1897.264248338464,0.0,149.60926829048557,0.0,1063.8078164109
views_per_day,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
seller_is_top,mean,0.007692307692307693,0.8478260869565217,0.29777777777777775,0.155,0.0374331550802139,0.07692307692307693,0.1111111111111111,0.22485207100591717,0.44,1.0,0.22184300341296928
seller_is_top,std,0.08770580193070292,0.36315844747302034,0.4583008646508126,0.3628128523483502,0.19033032850440335,0.26854307776478725,0.3333333333333333,0.41872554158688835,0.4983844868915902,0.0,0.4156634517666972
